Query,Rank,Method_A,Method_A_letter,Method_B,Method_B_letter,Winner_Method
discernment,1,BERT,A,SBERT,B,BERT
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",2,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
discernment,1,TF-IDF,B,BERT,A,TF-IDF
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",2,BERT,X,SBERT,Y,BERT
discernment,1,SBERT,Y,TF-IDF,X,TF-IDF
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",2,TF-IDF,X,BERT,Y,TF-IDF
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",2,TF-IDF,A,SBERT,B,TF-IDF
Belief ,2,SBERT,Y,BERT,X,BERT
struggle,1,SBERT,Y,BERT,X,BERT
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",3,BERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
struggle,1,TF-IDF,A,BERT,B,TF-IDF
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",3,SBERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
struggle,1,TF-IDF,B,SBERT,A,TF-IDF
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",3,TF-IDF,X,TF-IDF + GloVe,Y,TF-IDF
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",3,SBERT,Y,BERT,X,BERT
discernment,1,BERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",3,BERT,A,TF-IDF,B,BERT
discernment,1,SBERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",3,SBERT,X,TF-IDF,Y,SBERT
discernment,1,TF-IDF,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
discernment,1,BERT,Y,SBERT,X,SBERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",5,TF-IDF + GloVe,B,BERT,A,BERT
discernment,1,BERT,Y,TF-IDF,X,TF-IDF
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",5,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
discernment,1,TF-IDF,B,SBERT,A,SBERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",5,BERT,A,TF-IDF,B,BERT
hope,1,BERT,A,TF-IDF + GloVe,B,BERT
struggle,1,BERT,B,SBERT,A,BERT
hope,1,SBERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
struggle,1,TF-IDF,B,BERT,A,TF-IDF
hope,1,TF-IDF,B,TF-IDF + GloVe,A,TF-IDF + GloVe
struggle,1,SBERT,Y,TF-IDF,X,TF-IDF
hope,1,BERT,Y,SBERT,X,SBERT
hope,1,BERT,X,TF-IDF,Y,BERT
Transgression,5,TF-IDF + GloVe,Y,BERT,X,BERT
hope,1,SBERT,Y,TF-IDF,X,TF-IDF
Transgression,5,TF-IDF,X,TF-IDF + GloVe,Y,TF-IDF
Transgression,5,BERT,B,TF-IDF,A,BERT
Transgression,1,BERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
Transgression,1,SBERT,X,TF-IDF + GloVe,Y,SBERT
struggle,4,SBERT,Y,BERT,X,BERT
Transgression,1,TF-IDF + GloVe,Y,TF-IDF,X,TF-IDF
Transgression,1,BERT,A,SBERT,B,BERT
discernment,4,BERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
Transgression,1,TF-IDF,B,BERT,A,BERT
discernment,4,SBERT,A,TF-IDF + GloVe,B,SBERT
Transgression,1,TF-IDF,B,SBERT,A,TF-IDF
discernment,4,SBERT,A,BERT,B,SBERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",2,TF-IDF + GloVe,A,BERT,B,TF-IDF + GloVe
hope,4,BERT,B,TF-IDF + GloVe,A,BERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",2,SBERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
hope,4,TF-IDF + GloVe,Y,SBERT,X,SBERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",2,TF-IDF + GloVe,A,TF-IDF,B,TF-IDF + GloVe
hope,4,TF-IDF,A,TF-IDF + GloVe,B,TF-IDF
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",2,BERT,A,SBERT,B,BERT
hope,4,SBERT,B,BERT,A,SBERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",2,BERT,Y,TF-IDF,X,TF-IDF
hope,4,BERT,B,TF-IDF,A,TF-IDF
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",2,TF-IDF,B,SBERT,A,SBERT
hope,4,SBERT,X,TF-IDF,Y,SBERT
Transgression,1,TF-IDF + GloVe,Y,BERT,X,BERT
humlitity,2,BERT,X,SBERT,Y,BERT
Transgression,1,TF-IDF + GloVe,X,SBERT,Y,TF-IDF + GloVe
Transgression,1,TF-IDF,A,TF-IDF + GloVe,B,TF-IDF
struggle,5,SBERT,B,BERT,A,SBERT
Transgression,1,SBERT,A,BERT,B,SBERT
Transgression,1,BERT,Y,TF-IDF,X,TF-IDF
struggle,3,BERT,A,SBERT,B,BERT
Transgression,1,TF-IDF,A,SBERT,B,TF-IDF
humlitity,3,SBERT,A,BERT,B,SBERT
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",2,BERT,X,TF-IDF + GloVe,Y,BERT
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",2,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
Harken unto my prayer,3,BERT,B,TF-IDF + GloVe,A,BERT
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",2,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
Harken unto my prayer,3,TF-IDF + GloVe,Y,SBERT,X,SBERT
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",2,BERT,B,SBERT,A,SBERT
Harken unto my prayer,3,TF-IDF,B,TF-IDF + GloVe,A,TF-IDF
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",2,TF-IDF,Y,BERT,X,BERT
Harken unto my prayer,3,SBERT,X,BERT,Y,SBERT
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",2,SBERT,A,TF-IDF,B,SBERT
Harken unto my prayer,3,BERT,B,TF-IDF,A,BERT
Harken unto my prayer,3,TF-IDF,A,SBERT,B,TF-IDF
Psalms that contrast human mortality with divine eternity and reflect on the fleeting nature of lifeâ€,1,BERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
Psalms that contrast human mortality with divine eternity and reflect on the fleeting nature of lifeâ€,1,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
The Lord is my shepherd,4,BERT,A,TF-IDF + GloVe,B,BERT
Psalms that contrast human mortality with divine eternity and reflect on the fleeting nature of lifeâ€,1,TF-IDF,B,TF-IDF + GloVe,A,TF-IDF + GloVe
The Lord is my shepherd,4,SBERT,X,TF-IDF + GloVe,Y,SBERT
Psalms that contrast human mortality with divine eternity and reflect on the fleeting nature of lifeâ€,1,BERT,X,SBERT,Y,BERT
The Lord is my shepherd,4,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
Psalms that contrast human mortality with divine eternity and reflect on the fleeting nature of lifeâ€,1,BERT,A,TF-IDF,B,BERT
The Lord is my shepherd,4,SBERT,A,BERT,B,SBERT
Psalms that contrast human mortality with divine eternity and reflect on the fleeting nature of lifeâ€,1,TF-IDF,X,SBERT,Y,TF-IDF
The Lord is my shepherd,4,BERT,B,TF-IDF,A,BERT
The Lord is my shepherd,4,TF-IDF,X,SBERT,Y,TF-IDF
thanksgiving,2,TF-IDF + GloVe,B,BERT,A,TF-IDF + GloVe
thanksgiving,2,SBERT,A,TF-IDF + GloVe,B,SBERT
discernment,3,BERT,X,TF-IDF + GloVe,Y,BERT
thanksgiving,2,TF-IDF,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
discernment,3,TF-IDF + GloVe,Y,SBERT,X,SBERT
thanksgiving,2,BERT,B,SBERT,A,BERT
discernment,3,TF-IDF,A,TF-IDF + GloVe,B,TF-IDF
thanksgiving,2,TF-IDF,B,BERT,A,TF-IDF
discernment,3,BERT,A,SBERT,B,BERT
thanksgiving,2,TF-IDF,Y,SBERT,X,SBERT
discernment,3,TF-IDF,X,BERT,Y,TF-IDF
discernment,3,TF-IDF,Y,SBERT,X,SBERT
The Lord is my shepherd,1,TF-IDF + GloVe,B,BERT,A,BERT
The Lord is my shepherd,1,TF-IDF + GloVe,X,SBERT,Y,TF-IDF + GloVe
protection from enemies,3,TF-IDF + GloVe,B,BERT,A,BERT
The Lord is my shepherd,1,TF-IDF,X,TF-IDF + GloVe,Y,TF-IDF
protection from enemies,3,SBERT,A,TF-IDF + GloVe,B,SBERT
The Lord is my shepherd,1,SBERT,Y,BERT,X,BERT
protection from enemies,3,SBERT,B,BERT,A,BERT
The Lord is my shepherd,1,BERT,B,TF-IDF,A,TF-IDF
The Lord is my shepherd,1,SBERT,A,TF-IDF,B,SBERT
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",2,BERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",2,SBERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",2,TF-IDF + GloVe,B,BERT,A,BERT
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",2,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",2,SBERT,X,TF-IDF + GloVe,Y,SBERT
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",2,BERT,Y,SBERT,X,SBERT
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",2,TF-IDF,B,TF-IDF + GloVe,A,TF-IDF
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",2,TF-IDF,B,BERT,A,BERT
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",2,BERT,B,SBERT,A,SBERT
" O Lord, grant that I may meet all that this coming day brings to me with spiritual tranquility. Grant that I may fully surrender myself to Thy holy Will. At every hour of this day, direct and support me in all things.",2,SBERT,B,TF-IDF,A,TF-IDF
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",2,TF-IDF,B,BERT,A,BERT
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",2,TF-IDF,Y,SBERT,X,SBERT
thanksgiving,5,TF-IDF + GloVe,B,BERT,A,BERT
thanksgiving,5,TF-IDF,B,TF-IDF + GloVe,A,TF-IDF
Deliverance,5,BERT,A,SBERT,B,BERT
thanksgiving,5,TF-IDF,B,BERT,A,TF-IDF
Deliverance,3,BERT,Y,SBERT,X,SBERT
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",3,BERT,A,TF-IDF + GloVe,B,BERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",5,BERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",3,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",5,TF-IDF,X,TF-IDF + GloVe,Y,TF-IDF
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",3,TF-IDF + GloVe,Y,TF-IDF,X,TF-IDF
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",5,BERT,B,TF-IDF,A,TF-IDF
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",3,BERT,A,SBERT,B,BERT
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",3,BERT,B,TF-IDF,A,TF-IDF
protection from enemies,4,BERT,A,TF-IDF + GloVe,B,BERT
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",3,TF-IDF,X,SBERT,Y,TF-IDF
protection from enemies,4,SBERT,A,TF-IDF + GloVe,B,SBERT
protection from enemies,4,SBERT,Y,BERT,X,BERT
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",2,BERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",2,TF-IDF + GloVe,Y,SBERT,X,SBERT
The Lord is my shepherd,2,TF-IDF + GloVe,X,BERT,Y,TF-IDF + GloVe
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",2,TF-IDF + GloVe,B,TF-IDF,A,TF-IDF
The Lord is my shepherd,2,SBERT,A,TF-IDF + GloVe,B,SBERT
The Lord is my shepherd,2,TF-IDF + GloVe,A,TF-IDF,B,TF-IDF + GloVe
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",2,SBERT,B,BERT,A,BERT
The Lord is my shepherd,2,SBERT,X,BERT,Y,SBERT
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",2,TF-IDF,X,BERT,Y,TF-IDF
The Lord is my shepherd,2,BERT,X,TF-IDF,Y,BERT
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",2,SBERT,A,TF-IDF,B,SBERT
The Lord is my shepherd,2,SBERT,Y,TF-IDF,X,TF-IDF
Deliverance,3,BERT,Y,SBERT,X,SBERT
Have Mercy on me,2,TF-IDF + GloVe,A,BERT,B,TF-IDF + GloVe
Have Mercy on me,2,SBERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",4,BERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
Have Mercy on me,2,TF-IDF,B,TF-IDF + GloVe,A,TF-IDF
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",4,TF-IDF + GloVe,X,SBERT,Y,TF-IDF + GloVe
Have Mercy on me,2,SBERT,X,BERT,Y,SBERT
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",4,TF-IDF + GloVe,B,TF-IDF,A,TF-IDF
Have Mercy on me,2,BERT,X,TF-IDF,Y,BERT
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",4,SBERT,A,BERT,B,SBERT
Have Mercy on me,2,SBERT,A,TF-IDF,B,SBERT
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",4,BERT,Y,TF-IDF,X,TF-IDF
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",4,TF-IDF,Y,SBERT,X,SBERT
Deliverance,2,SBERT,X,BERT,Y,SBERT
hope,5,TF-IDF + GloVe,Y,BERT,X,BERT
Deliverance,4,SBERT,A,BERT,B,SBERT
hope,5,TF-IDF + GloVe,Y,TF-IDF,X,TF-IDF
hope,5,BERT,B,TF-IDF,A,BERT
Belief ,3,SBERT,Y,BERT,X,BERT
protection from enemies,4,BERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
"Because of the distress of ther beggars and the groaning of the poor, now I will arise, saith the Lord",2,BERT,X,TF-IDF + GloVe,Y,BERT
protection from enemies,4,SBERT,B,TF-IDF + GloVe,A,SBERT
"Because of the distress of ther beggars and the groaning of the poor, now I will arise, saith the Lord",2,TF-IDF + GloVe,B,SBERT,A,SBERT
protection from enemies,4,SBERT,X,BERT,Y,SBERT
"Because of the distress of ther beggars and the groaning of the poor, now I will arise, saith the Lord",2,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
"Because of the distress of ther beggars and the groaning of the poor, now I will arise, saith the Lord",2,BERT,A,SBERT,B,BERT
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",2,BERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
"Because of the distress of ther beggars and the groaning of the poor, now I will arise, saith the Lord",2,TF-IDF,A,BERT,B,TF-IDF
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",2,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
"Because of the distress of ther beggars and the groaning of the poor, now I will arise, saith the Lord",2,TF-IDF,B,SBERT,A,SBERT
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",2,TF-IDF,A,TF-IDF + GloVe,B,TF-IDF
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",2,SBERT,B,BERT,A,BERT
"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",4,TF-IDF + GloVe,B,BERT,A,BERT
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",2,BERT,B,TF-IDF,A,TF-IDF
"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",4,SBERT,A,TF-IDF + GloVe,B,SBERT
"Identify psalms that combine themes of suffering, injustice, and confusion about Godâ€™s presence, yet still conclude with declarations of hope, faith, or trust in divine deliverance",2,SBERT,A,TF-IDF,B,SBERT
"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",4,TF-IDF,B,TF-IDF + GloVe,A,TF-IDF + GloVe
"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",4,SBERT,B,BERT,A,BERT
mercy,5,BERT,X,TF-IDF + GloVe,Y,BERT
"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",4,BERT,Y,TF-IDF,X,TF-IDF
mercy,5,TF-IDF,X,TF-IDF + GloVe,Y,TF-IDF
"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",4,TF-IDF,X,SBERT,Y,TF-IDF
mercy,5,TF-IDF,A,BERT,B,TF-IDF
protection from enemies,2,TF-IDF + GloVe,X,BERT,Y,TF-IDF + GloVe
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",5,TF-IDF + GloVe,B,BERT,A,BERT
protection from enemies,2,SBERT,A,TF-IDF + GloVe,B,SBERT
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",5,TF-IDF + GloVe,B,TF-IDF,A,TF-IDF
protection from enemies,2,TF-IDF + GloVe,A,TF-IDF,B,TF-IDF + GloVe
"Psalms that reflect on human mortality and the fragility of life in contrast with the eternal nature of God, including meditations on time, death, and divine permanence",5,BERT,Y,TF-IDF,X,TF-IDF
protection from enemies,2,SBERT,Y,BERT,X,BERT
protection from enemies,2,BERT,A,TF-IDF,B,BERT
humlitity,2,SBERT,Y,BERT,X,BERT
protection from enemies,2,SBERT,Y,TF-IDF,X,TF-IDF
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",2,TF-IDF + GloVe,Y,BERT,X,BERT
Have Mercy on me,4,BERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",2,SBERT,X,TF-IDF + GloVe,Y,SBERT
Have Mercy on me,4,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",2,TF-IDF,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
Have Mercy on me,4,TF-IDF,B,TF-IDF + GloVe,A,TF-IDF
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",2,SBERT,B,BERT,A,BERT
Have Mercy on me,4,BERT,A,SBERT,B,BERT
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",2,BERT,Y,TF-IDF,X,TF-IDF
Have Mercy on me,4,TF-IDF,X,BERT,Y,TF-IDF
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",2,SBERT,A,TF-IDF,B,SBERT
Have Mercy on me,4,TF-IDF,A,SBERT,B,TF-IDF
hope,2,TF-IDF + GloVe,Y,BERT,X,BERT
"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",2,TF-IDF + GloVe,A,BERT,B,TF-IDF + GloVe
hope,2,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",2,TF-IDF + GloVe,B,SBERT,A,SBERT
hope,2,TF-IDF + GloVe,A,TF-IDF,B,TF-IDF + GloVe
"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",2,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
hope,2,SBERT,B,BERT,A,SBERT
"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",2,SBERT,X,BERT,Y,SBERT
hope,2,TF-IDF,B,BERT,A,BERT
"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",2,TF-IDF,B,BERT,A,BERT
hope,2,TF-IDF,Y,SBERT,X,SBERT
"The Choir of the Saints have found the fountain of life and the door of pardice. May I also find the right way through repentence, I am a lost sheep. Call me, O Savior, and save me. ",2,TF-IDF,A,SBERT,B,TF-IDF
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",1,BERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
